,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad,age_cat,areaIncome_cat
209,40.15,38.0,38745.29,134.88,Exclusive disintermediate task-force,Joechester,1,Sao Tome and Principe,2016-06-27 18:37:04,yes,middle,avg
210,76.81,28.0,,217.85,Managed zero tolerance concept,East Paul,1,Fiji,2016-07-03 12:57:03,no,young,
211,41.89,38.0,,163.38,Compatible systemic function,Hartmanchester,0,Cyprus,2016-02-03 04:21:14,yes,middle,
212,,27.0,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,1,Kyrgyz Republic,2016-05-29 21:17:10,no,young,avg
213,67.28,43.0,76246.96,,Future-proofed coherent hardware,North Mercedes,1,Pakistan,2016-04-03 21:13:46,yes,middle,high
214,81.98,40.0,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,0,Seychelles,2016-04-15 11:51:14,no,middle,high
215,66.01,23.0,34127.21,151.95,Front-line tangible alliance,Hansenmouth,0,Samoa,2016-06-21 03:14:41,yes,young,low
216,61.57,53.0,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,1,Bulgaria,2016-03-14 14:13:05,yes,senior,low
217,53.3,34.0,,111.94,Self-enabling optimal initiative,West Jessicahaven,0,Mauritania,2016-05-06 21:07:31,yes,middle,
218,,40.0,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,0,Czech Republic,2016-06-12 17:52:43,yes,middle,high
219,43.6,38.0,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,0,Chile,2016-01-11 07:36:22,yes,middle,low
220,77.88,37.0,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,0,Poland,2016-07-02 00:24:22,no,middle,avg
221,75.83,27.0,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,0,Estonia,2016-03-04 10:13:48,no,young,high
222,49.95,39.0,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,0,Turkmenistan,2016-03-24 09:12:52,yes,middle,high
223,60.94,41.0,76893.84,,Fundamental fault-tolerant neural-net,Garciaview,0,Latvia,2016-02-14 07:30:24,yes,middle,high
224,89.15,42.0,,171.07,Phased zero administration success,Townsendfurt,0,Fiji,2016-04-25 07:30:21,no,middle,
225,78.7,30.0,,133.99,Compatible intangible customer loyalty,Williamstad,0,Turkey,2016-02-10 19:20:51,yes,young,
226,57.35,29.0,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,0,Kazakhstan,2016-04-23 14:34:38,yes,young,avg
227,34.86,38.0,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,0,Bahrain,2016-06-18 17:56:32,yes,middle,avg
228,70.68,31.0,74430.08,199.08,Configurable multi-state utilization,Robertbury,0,Colombia,2016-07-17 01:58:53,no,young,high
229,,23.0,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,0,Brunei Darussalam,2016-04-27 04:28:17,no,young,high
230,,33.0,72707.87,228.03,Horizontal content-based synergy,Turnerview,1,Taiwan,2016-04-21 20:29:35,no,young,high
231,46.77,32.0,31092.93,136.4,Multi-tiered maximized archive,Reneechester,1,Serbia,2016-03-23 06:00:15,yes,young,low
232,,38.0,,143.94,Diverse executive groupware,West Tinashire,0,Saint Pierre and Miquelon,2016-07-19 07:59:18,yes,middle,
233,78.32,28.0,49309.14,239.52,Synergized cohesive array,Jamesfurt,0,Australia,2016-06-26 11:52:18,yes,young,avg
234,37.32,50.0,56735.14,199.25,Versatile dedicated software,New Nancy,1,Chad,2016-03-30 23:40:52,yes,senior,avg
235,40.42,45.0,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,1,Norway,2016-03-16 07:59:37,yes,middle,avg
236,76.77,36.0,58348.41,123.51,Universal even-keeled analyzer,Harveyport,0,Turks and Caicos Islands,2016-05-04 00:01:33,yes,middle,high
237,65.65,30.0,,158.05,Up-sized tertiary contingency,Ramosstad,0,Finland,2016-07-02 21:22:23,no,young,
238,74.32,,62060.11,128.17,Monitored real-time superstructure,North Kevinside,0,South Africa,2016-05-23 21:14:38,yes,,high
239,73.27,32.0,67113.46,234.75,Streamlined analyzing initiative,Haleview,1,Martinique,2016-01-29 20:16:54,no,young,high
240,80.03,44.0,24030.06,150.84,Automated static concept,Christinetown,0,Afghanistan,2016-07-23 14:47:23,yes,middle,low
241,53.68,47.0,56180.93,115.26,Operative stable moderator,New Michael,1,Micronesia,2016-02-16 09:11:27,yes,middle,avg
242,85.84,32.0,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,1,French Southern Territories,2016-06-09 21:43:05,no,young,high
243,85.03,,60372.64,204.52,Expanded clear-thinking core,North Shannon,0,Philippines,2016-06-19 09:24:35,no,,high
244,70.44,,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,1,Algeria,2016-06-06 21:26:51,no,,high
245,81.22,53.0,34309.24,223.09,Networked coherent interface,Port Jason,1,San Marino,2016-01-07 13:25:21,no,senior,low
246,39.96,45.0,59610.81,146.13,Enhanced homogeneous moderator,East Barbara,1,Guernsey,2016-04-15 06:08:35,yes,middle,high
247,57.05,41.0,50278.89,,Seamless full-range website,Port Erinberg,1,Sierra Leone,2016-01-09 03:45:19,yes,middle,avg
248,42.44,56.0,43450.11,,Profit-focused attitude-oriented task-force,Petersonfurt,0,Tajikistan,2016-02-10 15:23:17,yes,senior,avg
249,62.2,25.0,25408.21,161.16,Cross-platform multimedia algorithm,New Lindaberg,0,Liechtenstein,2016-04-24 13:42:15,yes,young,low
250,,36.0,71136.49,222.25,Open-source coherent monitoring,West Russell,0,Ecuador,2016-06-12 05:31:19,no,middle,high
251,61.22,45.0,63883.81,119.03,Streamlined logistical secured line,South Adam,1,Switzerland,2016-01-05 09:42:22,yes,middle,high
252,84.54,33.0,64902.47,204.02,Synchronized stable complexity,North Tracyport,1,Moldova,2016-03-02 10:07:43,no,young,high
253,46.08,30.0,66784.81,164.63,Synergistic value-added extranet,Brownport,1,Finland,2016-07-21 10:54:35,yes,young,high
254,56.7,48.0,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,0,France,2016-01-09 04:53:22,yes,senior,high
255,81.03,28.0,63727.5,201.15,Persevering tertiary capability,Masonhaven,0,Venezuela,2016-01-06 13:20:01,no,young,high
256,80.91,32.0,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,0,Cuba,2016-01-31 04:10:20,no,young,high
257,40.06,38.0,56782.18,138.68,Organized contextually-based customer loyalty,Olsonstad,1,Peru,2016-06-11 08:38:16,yes,middle,avg
258,83.47,39.0,64447.77,226.11,Total directional approach,New Brandy,0,Turkey,2016-05-15 20:48:40,no,middle,high
259,73.84,31.0,42042.95,121.05,Programmable uniform productivity,South Jasminebury,0,Albania,2016-06-18 17:23:26,yes,young,avg
260,74.65,28.0,67669.06,212.56,Robust transitional ability,East Timothy,0,French Southern Territories,2016-03-17 05:00:12,no,young,high
261,60.25,35.0,54875.95,109.77,De-engineered fault-tolerant database,Charlottefort,0,Papua New Guinea,2016-06-29 13:35:05,yes,middle,avg
262,59.21,35.0,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,1,Liechtenstein,2016-02-02 08:55:26,yes,middle,high
263,43.02,44.0,50199.77,125.22,Configurable bottom-line application,West Lindseybury,0,Thailand,2016-04-13 05:42:52,yes,middle,avg
264,84.04,38.0,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,0,Malaysia,2016-07-20 09:27:24,no,middle,avg
265,,43.0,63450.96,120.95,Versatile scalable encryption,Lake Craigview,1,Mauritius,2016-02-26 04:57:14,yes,middle,high
266,70.58,26.0,56694.12,136.94,Proactive next generation knowledge user,Lake David,0,Algeria,2016-02-26 09:18:48,yes,young,avg
267,72.44,34.0,70547.16,230.14,Customizable tangible hierarchy,Bruceburgh,0,Christmas Island,2016-04-15 14:45:48,no,middle,high
268,40.17,26.0,47391.95,,Visionary asymmetric encryption,South Lauratown,1,Japan,2016-02-01 14:37:34,yes,young,avg
269,79.15,26.0,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,0,Greenland,2016-01-20 19:09:37,no,young,high
270,44.49,53.0,,168.0,Business-focused real-time toolset,Jacksonburgh,1,Sao Tome and Principe,2016-04-23 06:28:43,yes,senior,
271,73.04,37.0,73687.5,221.79,Organic contextually-based focus group,Erinmouth,1,Senegal,2016-06-19 22:26:16,no,middle,high
272,76.28,33.0,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,0,Guadeloupe,2016-02-15 07:55:10,no,young,avg
273,68.88,37.0,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,0,Belgium,2016-02-09 19:37:52,no,middle,high
274,,28.0,,242.37,Universal asymmetric archive,Jeffreyshire,0,Israel,2016-01-25 07:52:53,no,young,
275,47.66,29.0,27086.4,156.54,Devolved responsive structure,Tinaton,0,Honduras,2016-07-18 11:33:31,yes,young,low
276,87.3,35.0,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,0,Estonia,2016-01-09 07:28:16,no,middle,high
277,89.34,32.0,50216.01,177.78,Object-based executive productivity,Wendyton,1,Paraguay,2016-03-21 21:15:54,no,young,avg
278,81.37,26.0,53049.44,,Business-focused responsive website,Lake Jacqueline,1,Kyrgyz Republic,2016-02-15 12:25:28,no,young,avg
279,81.67,,62927.96,196.76,Visionary analyzing structure,North Christopher,1,Mauritania,2016-03-04 08:48:29,no,,high
280,46.37,52.0,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,0,French Guiana,2016-01-05 00:02:53,yes,senior,low
281,54.88,24.0,32006.82,,Customizable modular Internet solution,West Pamela,0,Northern Mariana Islands,2016-05-15 01:03:06,yes,young,low
282,40.67,35.0,48913.07,,Stand-alone encompassing throughput,West Amanda,0,Lebanon,2016-05-05 09:28:36,yes,middle,avg
283,71.76,35.0,69285.69,237.39,Customizable zero-defect matrix,South Tomside,0,Saint Pierre and Miquelon,2016-05-26 13:18:30,no,middle,high
284,47.51,51.0,53700.57,130.41,Managed well-modulated collaboration,Bethburgh,1,American Samoa,2016-05-21 01:36:16,yes,senior,avg
285,75.15,22.0,52011.0,212.87,Universal global intranet,Jamiefort,1,Austria,2016-05-04 12:06:18,no,young,avg
286,,26.0,,127.26,Re-engineered real-time success,Garciamouth,0,Tonga,2016-07-05 18:59:45,yes,young,
287,82.87,,,213.36,Front-line fresh-thinking open system,West Brenda,0,Tonga,2016-06-28 20:13:41,no,,
288,45.05,42.0,66348.95,141.36,Digitized contextually-based product,South Kyle,0,French Southern Territories,2016-05-05 11:09:29,yes,middle,high
289,60.53,24.0,66873.9,167.22,Organic interactive support,Combsstad,0,Serbia,2016-03-25 15:17:39,yes,young,high
290,50.52,31.0,,171.62,Function-based stable alliance,Lake Allenville,0,New Caledonia,2016-01-23 15:02:13,yes,young,
291,84.71,32.0,61610.05,210.23,Reactive responsive emulation,Greenechester,0,Taiwan,2016-05-29 07:29:27,no,young,high
292,55.2,39.0,76560.59,159.46,Exclusive zero tolerance alliance,Jordantown,1,United States of America,2016-05-30 07:36:31,yes,middle,high
293,81.61,33.0,62667.51,228.76,Enterprise-wide local matrices,Gravesport,0,Morocco,2016-04-17 15:46:03,no,young,high
294,71.55,36.0,75687.46,163.99,Inverse next generation moratorium,South Troy,1,Suriname,2016-07-20 23:08:28,no,middle,high
295,82.4,36.0,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,1,Macedonia,2016-06-29 03:07:51,no,middle,high
296,73.95,35.0,67714.82,238.58,Persevering even-keeled help-desk,Millerland,0,Wallis and Futuna,2016-04-10 14:48:35,no,middle,high
297,72.07,31.0,,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,0,Chile,2016-04-16 16:38:35,no,young,
298,80.39,31.0,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,0,Gabon,2016-05-03 08:21:23,no,young,high
299,65.8,25.0,60843.32,231.49,Expanded radical software,Clineshire,1,Gabon,2016-03-18 16:04:59,no,young,high
300,,28.0,55041.6,250.0,Mandatory 3rdgeneration moderator,Cynthiaside,0,Holy See (Vatican City State),2016-05-22 00:01:58,no,young,avg
301,52.62,,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,0,Seychelles,2016-02-01 20:30:35,yes,,high
302,39.25,39.0,62378.05,152.36,Customer-focused incremental system engine,Michellefort,0,Mayotte,2016-01-23 17:39:06,yes,middle,high
303,77.56,38.0,63336.85,130.83,Right-sized multi-tasking solution,Port Angelamouth,1,Uganda,2016-05-19 03:52:24,yes,middle,high
304,33.52,43.0,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,0,Cambodia,2016-05-09 21:54:38,yes,middle,avg
305,79.81,24.0,56194.56,178.85,Proactive context-sensitive project,North Daniel,1,Antigua and Barbuda,2016-05-31 11:44:45,yes,young,avg
306,,33.0,61771.9,214.53,Managed eco-centric encoding,New Juan,0,Cameroon,2016-03-30 19:09:50,no,young,high
307,82.7,35.0,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,0,Somalia,2016-01-09 15:49:28,no,middle,high
308,84.88,32.0,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,0,Lebanon,2016-04-18 03:41:56,no,young,high
309,54.92,54.0,,161.16,Extended interactive model,Roberttown,0,Saint Pierre and Miquelon,2016-06-13 13:59:51,yes,senior,
310,76.56,,70179.11,221.53,Universal bi-directional extranet,Jeremyshire,1,Dominica,2016-04-23 08:15:31,no,,high
311,69.74,49.0,66524.8,243.37,Enhanced maximized access,Birdshire,0,Hungary,2016-03-27 16:41:29,no,senior,high
312,75.55,22.0,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,0,Taiwan,2016-02-19 07:29:30,yes,young,avg
313,72.19,33.0,61275.18,250.35,Synchronized national infrastructure,Curtisview,1,Saint Lucia,2016-05-19 11:16:59,no,young,high
314,84.29,41.0,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,0,Niue,2016-01-27 20:47:57,no,middle,high
315,73.89,39.0,47160.53,110.68,Horizontal national architecture,North April,0,France,2016-04-20 00:41:53,yes,middle,avg
316,75.84,21.0,48537.18,,Reactive bi-directional workforce,Hayesmouth,0,Cyprus,2016-02-07 07:41:06,no,young,avg
317,73.38,25.0,53058.91,236.19,Horizontal transitional challenge,South Corey,1,French Southern Territories,2016-04-21 09:30:35,no,young,avg
318,80.72,31.0,68614.98,186.37,Re-engineered neutral success,Juliaport,0,Costa Rica,2016-04-19 05:15:28,no,young,high
319,62.06,44.0,44174.25,105.0,Adaptive contextually-based methodology,Port Paultown,0,Austria,2016-04-12 14:01:08,yes,middle,avg
320,51.5,34.0,67050.16,135.31,Configurable dynamic adapter,East Vincentstad,0,Zambia,2016-03-15 11:25:48,yes,middle,high
321,90.97,37.0,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,0,Congo,2016-02-16 18:21:36,no,middle,avg
322,86.78,30.0,54952.42,,Fundamental zero tolerance solution,New Steve,1,United States of America,2016-02-18 23:08:59,no,young,avg
323,66.18,35.0,69476.42,,Proactive asymmetric definition,New Johnberg,0,Pitcairn Islands,2016-03-25 08:40:15,no,middle,high
324,84.33,41.0,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,0,Belize,2016-03-16 00:28:10,no,middle,avg
325,36.87,36.0,29398.61,,Self-enabling incremental collaboration,New Rebecca,0,Anguilla,2016-01-28 11:50:40,yes,middle,low
326,34.78,48.0,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,1,South Africa,2016-03-24 02:01:55,yes,senior,avg
327,76.84,,65883.39,,Reduced incremental productivity,Faithview,0,Singapore,2016-03-03 22:31:16,no,,high
328,67.05,25.0,65421.39,220.92,Realigned scalable standardization,Richardsontown,0,Finland,2016-02-26 09:54:33,no,young,high
329,41.47,31.0,60953.93,219.79,Secured scalable Graphical User Interface,Port Brookeland,0,Martinique,2016-07-06 15:56:39,yes,young,high
330,80.71,26.0,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,0,Cameroon,2016-06-24 05:50:22,no,young,high
331,80.09,31.0,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,0,Sweden,2016-05-23 21:00:45,no,young,high
332,56.3,49.0,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,1,New Caledonia,2016-02-03 19:12:51,yes,senior,high
333,79.36,34.0,57260.41,245.78,Profound maximized workforce,Hessstad,1,Bosnia and Herzegovina,2016-04-28 22:54:37,no,middle,avg
334,86.38,40.0,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,1,Singapore,2016-03-19 14:57:00,no,middle,high
335,38.94,41.0,,142.67,Optional mission-critical functionalities,Lewismouth,1,Falkland Islands (Malvinas),2016-07-15 09:08:42,yes,middle,
336,87.26,,63060.55,184.03,Multi-layered tangible portal,New Paul,0,Bosnia and Herzegovina,2016-05-12 04:35:59,no,,high
337,75.32,28.0,59998.5,233.6,Reduced mobile structure,Lake Angela,1,Mauritius,2016-01-01 21:58:55,no,young,high
338,74.38,40.0,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,1,Indonesia,2016-03-13 13:50:25,no,middle,high
339,65.9,22.0,60550.66,211.39,De-engineered tertiary secured line,Hartport,0,Czech Republic,2016-07-16 14:13:54,no,young,high
340,36.31,47.0,57983.3,168.92,Reverse-engineered well-modulated capability,East Yvonnechester,0,Eritrea,2016-04-18 00:49:33,yes,middle,high
341,72.23,48.0,52736.33,,Integrated coherent pricing structure,Burgessside,0,Mexico,2016-07-17 01:13:56,yes,senior,avg
342,88.12,38.0,46653.75,230.91,Realigned next generation projection,Hurleyborough,0,Gibraltar,2016-02-17 07:05:57,no,middle,avg
343,83.97,28.0,56986.73,205.5,Reactive needs-based instruction set,Garychester,1,Haiti,2016-06-16 02:33:22,no,young,avg
344,,,55336.18,131.68,User-friendly well-modulated leverage,East Kevinbury,1,Falkland Islands (Malvinas),2016-04-09 16:31:15,yes,,avg
345,65.77,21.0,42162.9,,Function-based fault-tolerant model,Contrerasshire,1,Eritrea,2016-03-18 17:35:40,no,young,avg
346,81.58,25.0,39699.13,199.39,Decentralized needs-based analyzer,Erikville,0,Hong Kong,2016-05-11 22:02:17,no,young,avg
347,37.87,52.0,56394.82,188.56,Phased analyzing emulation,Robertsonburgh,1,Gambia,2016-05-25 20:10:02,yes,senior,avg
348,,37.0,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,0,Barbados,2016-02-29 19:26:35,no,middle,high
349,60.91,19.0,,184.94,Upgradable directional system engine,Port Kathleenfort,0,Nauru,2016-06-09 14:24:06,yes,young,
350,74.49,28.0,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,0,Peru,2016-01-30 16:15:29,no,young,high
351,,23.0,56605.12,,Inverse local hub,New Sheila,1,El Salvador,2016-02-15 05:35:54,no,young,avg
352,78.19,30.0,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,2016-01-31 06:14:10,no,young,high
353,79.54,44.0,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,1,Cambodia,2016-01-05 16:34:31,no,middle,high
354,74.87,52.0,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,0,Saint Barthelemy,2016-05-31 02:17:18,yes,senior,avg
355,,36.0,57737.51,,Synergized coherent interface,Luischester,1,Reunion,2016-04-21 16:10:50,no,middle,high
356,37.45,47.0,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,0,Antigua and Barbuda,2016-04-10 03:30:16,yes,middle,low
357,49.84,,45800.48,111.59,Reduced multimedia project,Hannaport,0,Samoa,2016-02-09 07:21:25,yes,,avg
358,51.38,59.0,42362.49,158.56,Object-based modular functionalities,East Anthony,0,Afghanistan,2016-06-17 17:11:16,yes,senior,avg
359,83.4,34.0,66691.23,207.87,Polarized multimedia system engine,West Daleborough,0,Azerbaijan,2016-05-22 21:54:23,no,middle,high
360,38.91,33.0,56369.74,150.8,Versatile reciprocal structure,Morrismouth,1,Philippines,2016-07-13 07:41:42,yes,young,avg
361,62.14,41.0,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,1,Angola,2016-01-23 18:59:21,yes,middle,high
362,79.72,28.0,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,1,Albania,2016-05-20 12:17:59,no,young,high
363,73.3,36.0,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,1,Hungary,2016-01-30 04:38:41,yes,middle,high
364,69.11,42.0,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,1,Faroe Islands,2016-04-21 12:34:28,no,middle,high
365,71.9,54.0,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,1,Czech Republic,2016-04-22 20:32:17,yes,senior,high
366,72.45,29.0,72325.91,195.36,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,2016-01-11 06:02:27,no,young,high
367,77.07,40.0,44559.43,,Face-to-face analyzing encryption,Stephenborough,0,Afghanistan,2016-03-01 10:01:35,no,middle,avg
368,74.62,36.0,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,0,Rwanda,2016-04-04 08:19:54,no,middle,high
369,82.07,25.0,,205.38,Function-based optimizing extranet,Lauraburgh,1,Panama,2016-06-20 06:30:06,no,young,
370,58.6,50.0,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,0,Samoa,2016-01-28 07:10:29,yes,senior,avg
371,36.08,,41417.27,151.47,Automated client-driven orchestration,Davidside,1,United States Minor Outlying Islands,2016-07-03 04:11:40,yes,,avg
372,79.44,26.0,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,0,Greece,2016-05-15 13:18:34,no,young,high
373,41.73,47.0,60812.77,144.71,Proactive client-server productivity,Andersonchester,0,Cote d'Ivoire,2016-04-08 22:48:25,yes,middle,high
374,73.19,25.0,,203.74,Cloned incremental matrices,North Ronaldshire,1,Pakistan,2016-01-19 12:18:13,no,young,
375,77.6,24.0,,197.33,Open-architected system-worthy task-force,Greghaven,1,Anguilla,2016-05-26 15:40:26,no,young,
376,89.0,37.0,52079.18,222.26,Devolved regional moderator,Jordanmouth,1,Cyprus,2016-01-26 15:56:55,no,middle,avg
377,69.2,42.0,26023.99,123.8,Balanced value-added database,Meyersstad,0,Peru,2016-06-17 09:58:46,yes,middle,low
378,,,,125.45,Seamless composite budgetary management,Michelleside,0,Kenya,2016-04-25 21:15:39,yes,,
379,81.11,39.0,56216.57,248.19,Total cohesive moratorium,South Robert,1,Chad,2016-07-13 11:41:29,no,middle,avg
380,,30.0,61806.31,224.58,Integrated motivating neural-net,New Tyler,0,Kyrgyz Republic,2016-07-05 15:14:10,no,young,high
381,43.63,41.0,51662.24,,Exclusive zero tolerance frame,Jordanshire,1,Albania,2016-03-15 14:06:17,yes,middle,avg
382,77.66,29.0,67080.94,,Operative scalable emulation,Reyesland,0,Gabon,2016-06-19 22:08:15,no,young,high
383,74.63,26.0,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,1,Dominican Republic,2016-07-05 20:16:13,no,young,avg
384,49.67,,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,0,Zimbabwe,2016-05-09 08:44:55,yes,,low
385,80.59,37.0,67744.56,,Robust responsive collaboration,Lake Courtney,0,Croatia,2016-07-21 23:14:35,no,middle,high
386,,,66574.0,190.75,Polarized logistical hub,Samuelborough,1,Cambodia,2016-06-03 17:32:47,no,,high
387,44.46,42.0,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,1,Mongolia,2016-01-15 19:40:47,yes,middle,low
388,68.1,40.0,74903.41,227.73,Reactive composite project,Thomasstad,1,Honduras,2016-02-05 16:50:58,no,middle,high
389,63.88,38.0,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,0,Madagascar,2016-02-29 23:56:06,yes,middle,low
390,78.83,36.0,66050.63,234.64,Future-proofed responsive matrix,New Wanda,1,Qatar,2016-05-08 12:08:26,no,middle,high
391,,44.0,70449.04,216.0,Programmable empowering middleware,Mariebury,0,China,2016-07-13 01:48:46,no,middle,high
392,80.51,28.0,,,Robust dedicated system engine,Christopherville,1,Bangladesh,2016-01-08 02:34:06,no,young,
393,62.26,26.0,70203.74,202.77,Public-key mission-critical core,New Jasmine,0,Swaziland,2016-06-08 12:25:49,no,young,high
394,66.99,47.0,27262.51,124.44,Operative actuating installation,Lopezberg,1,Tanzania,2016-06-15 11:56:41,yes,middle,low
395,71.05,20.0,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,1,Eritrea,2016-06-13 22:41:45,no,young,avg
396,42.05,51.0,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,1,Canada,2016-06-20 14:20:52,yes,senior,low
397,50.52,,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,0,Saint Kitts and Nevis,2016-04-03 06:17:22,yes,,high
398,76.24,40.0,75524.78,,Managed impactful definition,Bakerhaven,1,Burkina Faso,2016-05-31 23:42:26,no,middle,high
399,77.29,27.0,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,2016-02-15 03:43:55,no,young,high
400,35.98,47.0,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,1,El Salvador,2016-03-10 23:26:54,yes,middle,avg
401,84.95,34.0,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,0,Madagascar,2016-02-26 17:01:01,no,middle,avg
402,39.34,43.0,31215.88,148.93,Proactive radical support,Alvaradoport,0,Bangladesh,2016-04-17 21:39:11,yes,middle,low
403,87.23,29.0,,202.12,Re-engineered responsive definition,Lake Kevin,0,American Samoa,2016-03-26 19:54:16,no,young,
404,57.24,52.0,46473.14,117.35,Profound optimizing utilization,Richardsonland,1,Latvia,2016-06-29 21:39:42,yes,senior,avg
405,81.58,,55479.62,248.16,Cloned explicit middleware,East Sheriville,0,Moldova,2016-01-27 17:55:44,no,,avg
406,56.34,50.0,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,1,Anguilla,2016-03-17 23:39:28,yes,senior,high
407,,27.0,34191.23,,Versatile content-based protocol,Monicaview,0,Bangladesh,2016-07-09 16:23:33,yes,young,low
408,51.68,49.0,51067.54,258.62,Seamless cohesive conglomeration,Katieport,0,Faroe Islands,2016-06-28 12:51:02,yes,senior,avg
409,35.34,45.0,46693.76,,De-engineered actuating hierarchy,East Brittanyville,0,Taiwan,2016-06-18 16:32:58,yes,middle,avg
410,48.09,33.0,19345.36,180.42,Balanced motivating help-desk,West Travismouth,0,Heard Island and McDonald Islands,2016-05-28 12:38:37,yes,young,low
411,78.68,29.0,66225.72,208.05,Inverse high-level capability,Leonchester,0,Israel,2016-01-16 16:40:30,no,young,high
412,68.82,20.0,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,1,Bolivia,2016-07-11 15:45:23,no,young,avg
413,56.99,,37713.23,,Sharable optimal capacity,Brownton,0,Bahamas,2016-07-16 23:08:54,yes,,avg
414,86.63,,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,1,Costa Rica,2016-04-06 21:20:07,no,,high
415,41.18,43.0,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,1,Myanmar,2016-07-05 00:54:11,yes,middle,avg
416,71.03,32.0,57846.68,120.85,Advanced systemic productivity,Keithtown,0,Netherlands Antilles,2016-02-17 23:47:00,yes,young,high
417,72.92,29.0,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,1,Czech Republic,2016-03-15 17:33:15,no,young,high
418,77.14,24.0,60283.98,184.88,Horizontal heuristic synergy,Janiceview,1,Iceland,2016-01-21 18:51:01,no,young,high
419,,,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,1,Palau,2016-06-06 22:41:24,no,,high
